3.14	1.886	2
0.48	0.85	1
0.95	2.72	2
1.084	2.397	1
0.91	2.437	1
1.416	2.0937	1
3.83	2.452	2
0.75	1.714	1
3.7	3.21	1
1.518	1.515	1
3.79	1.541	2
1.878	1.192	2
2.0809	3.93	1
1.459	1.668	1
0.98	2.619	2
1.232	0.96	2
0.31	1.9539	1
3.26	3.21	1
2.724	2.989	2
2.444	3.99	2
0.99	0.64	2
1.137	2.496	1
3.16	1.542	1
1.405	1.349	1
1.23	2.364	1
1.129	1.175	1
2.996	0.3	1
3.28	2.691	2
2.925	2.895	2
1.313	0.71	2
3.74	2.964	1
3.18	1.665	1
4.52	3.43	1
3.71	1.956	2
2.271	1.409	1
3.12	2.626	2
3.3	2.196	2
0.41	1.32	1
2.408	2.0673	1
3.13	3.48	2
2.763	2.921	2
0.59	3.11	2
1.25	1.119	2
3.16	2.978	2
3.13	2.405	2
1.478	0.66	2
0.59	2.894	2
2.00902	1.566	1
-0.14	0.57	1
0.69	3.25	2
2.041	0.87	2
2.0483	2.866	2
-0.11	2.193	2
2.522	3.46	2
2.0284	3.62	2
2.396	1.394	1
2.536	2.921	2
2.315	1.818	1
1.877	0.93	2
2.526	3.48	2
2.00665	2.0118	1
1.648	1.51	1
1.9299	0.77	2
1.851	0.8	2
2.785	2.0481	1
0.38	2.593	2
1.9686	0.99	2
1.715	0.9	2
3.33	3.51	1
3.09	0.63	1
1.777	0.72	2
1.9659	0.93	2
3.22	3.13	2
0.33	0.74	1
3.97	1.228	2
1.492	1.285	1
2.603	1.892	1
1.677	1.787	1
1.876	0.88	2
1.561	1.039	2
2.201	2.0024	1
2.812	2.708	2
2.888	2.817	2
2.0238	2.0836	1
2.415	1	2
1.692	4.19	1
2.767	1.752	1
3.23	0.8	1
3.33	3.63	1
2.27	2.0491	1
0.31	0.13	1
2.495	1.719	1
1.481	1.201	2
0.01	2.549	2
3.36	1.268	1
0.97	2.654	2
2.431	0.67	2
1.9417	0.85	2
1.791	2.345	1
3.26	0.63	1
0.22	1.622	1
2.98	1.9561	1
1.9464	3.6	2
0.61	1.549	1
3.22	1.639	1
3.22	2.561	2
1.162	2.356	1
1.554	1.139	2
3.17	0.61	1
1.9132	0.67	2
0.88	2.576	2
1.72	0.7	2
1.9731	2.958	1
1.303	3.35	2
3.38	0.26	1
2.408	3.16	2
3.2	3.54	1
4.07	3.02	1
1.538	1.813	1
3.27	2.589	2
1.899	1.235	2
1.181	3.26	2
2.615	1.9772	1
0.21	1.02	1
0.21	1.046	1
2.826	3.5	1
2.845	2.766	2
1.524	0.51	2
3.01	2.48	2
3.39	1.624	2
2.357	0.93	2
2.77	3.4	2
0.92	2.114	1
1.205	0.57	2
2.706	3.38	1
0.74	2.23	1
1.167	1.431	2
1.9697	4.11	2
1.777	1.581	1
1.438	1.127	2
2.926	2.972	2
0.14	0.43	1
1.194	2.941	2
1.786	2.38	1
2.744	3.42	1
3.94	1.35	2
3.77	3.35	1
1.097	2.101	1
1.9582	0.98	2
2.309	1.825	1
1.366	1.031	2
0.38	2.102	2
0.79	3.27	2
2.529	2.133	2
2.386	3.55	2
1.9038	2.19	1
1.464	3.13	2
3.02	1.739	1
1.124	1	2
4.35	3.21	1
1.018	0.92	2
0.84	2.469	1
0.26	2.693	2
0.9	3.16	2
2.0179	1.3	1
1.38	1.016	2
0.48	2.66	2
3.07	1.015	1
2.917	2.525	2
1.9518	3.52	2
3.49	3.55	1
1.416	3.01	2
1.9375	1.88	1
0.32	3.08	2
0.23	1.077	1
1.798	2.712	1
3.06	1.573	1
3.71	3.1	1
0.3	2.872	2
3.86	3.14	1
1.471	1.643	1
1.589	0.7	2
2.666	3.36	1
2.162	1.209	2
1.704	2.255	1
1.9653	3.3	2
2.294	0.5	2
1.48	0.83	2
2.741	0.8	1
0.67	3.08	2
1.9013	2.966	1
2.0131	1.031	2
2.896	3.58	1
1.588	2.492	1
2.683	3.07	2
1.247	1.9385	1
1.9326	3.85	2
3.08	2.683	2
3.15	2.243	2
2.497	1.329	1
2.174	3.92	2
3.64	2.0477	2
1.522	1.204	2
1.553	1	2
0.96	1.8	1
4.06	1.518	2
1.11	0.83	2
2.312	0.77	2
2.976	0.61	1
2.291	1.205	2
2.303	1.857	1
3.1	1.305	1
2.579	0.98	1
0.46	2.685	2
2.916	2.144	1
3.18	2.614	2
2.254	1.138	2
1.123	1.599	1
3.97	2.99	1
2.471	3.39	2
3.63	2.475	2
2.945	2.309	2
2.121	0.7	2
3.06	1.31	1
3.42	1.68	1
2.535	2.504	1
2.912	1.886	2
1.25	3.14	2
3.14	1.791	1
0.97	0.91	2
2.268	0.92	1
0.23	1.172	1
2.378	1.9391	1
3.19	2.113	1
1.832	3.32	2
4.07	3.21	1
0.93	2.707	2
0.81	2.309	2
3.19	2.697	2
2.121	3.72	2
3.23	1.9418	1
2.44	2.399	1
1.277	2.633	2
1.37	2.949	2
2.143	2.263	1
3.23	1.385	1
3.9	1.9435	2
3.22	1.9828	2
2.0107	2.0258	1
2.36	1.285	1
2.139	0.99	2
2.308	0.94	2
1.355	1.762	1
3.15	2.715	2
1.469	0.73	2
3.05	2.701	2
2.0681	1.24	2
1.405	3.46	2
2.72	2.989	2
0.14	1.037	1
2.0692	1.172	2
2.863	2.765	2
1.426	3.32	2
1.533	0.49	2
3.43	2.484	2
1.408	0.83	2
2.122	1.959	1
2.909	2.118	2
1.295	1.07	2
3.05	2.453	2
1.214	0.67	2
2.07	3.7	2
1.64	0.72	2
0.75	2.985	2
3.33	3.42	1
2.778	1.306	1
0.13	0.74	1
2.178	3.49	2
0.97	3.18	2
1.044	1.182	1
2.0345	1.309	2
0.75	2.512	1
1.813	0.62	2
0.76	3	2
2.329	1.63	1
0.63	1.197	1
2.529	3.62	2
1.77	3.08	2
1.381	1.252	2
1.086	3.07	2
2.163	0.69	2
3.19	0.66	1
2.983	0.69	1
0.37	0.59	1
0.98	1.704	1
1.613	2.26	1
0.41	1	1
3.69	1.276	2
1.131	1.9607	1
0.1	2.106	1
0.25	2.722	2
0.94	0.93	2
1.491	0.59	2
1.888	1.159	1
3.08	2.79	2
2.498	2.567	2
1.204	0.37	2
1.7	0.96	2
-0.34	2.246	2
2.842	0.59	1
1.9737	0.65	2
2.586	3.15	2
3.87	1.761	2
2.404	1.132	2
2.564	0.87	1
1.9416	2.54	1
0.42	0.74	1
1.187	1.43	1
1.421	1.252	1
0.65	3.32	2
1.361	1.062	2
3.49	1.99221	2
2.719	2.0781	1
2.0346	3.7	2
1.726	2.0468	1
2.207	2.0304	1
3.63	1.749	2
1.793	1.255	2
1.283	3	2
3.17	1.433	1
2.661	3.69	2
0.87	2.6	2
1.891	0.75	2
2.68	2.702	2
2.867	2.81	2
1.438	0.99	2
3.79	1.898	2
0.13	0.9	1
1.054	1.803	1
2.812	1.805	1
2.287	1.483	1
2.262	1.327	2
1.642	0.98	2
1.608	0.73	2
0.8	0.98	2
1.663	0.55	2
0.46	1.357	1
2.311	3.76	2
1.527	1.251	2
3.71	2.0217	2
3.88	1.632	2
0.82	1.9022	1
2.0431	1.9801	1
3.23	2.354	2
2.0788	1.9002	1
2.0544	0.41	2
1.76	3.72	1
1.504	0.91	2
1.364	3.35	2
3.15	2.634	2
3.29	0.57	1
1.017	3.06	2
1.794	1.526	1
2.298	1.171	1
1.028	0.94	2
3.21	2.354	2
2.328	3.71	1
2.313	0.93	2
0.76	1.648	1
0.61	1.32	1
3.2	0.44	1
1.792	2.332	1
2.553	3.54	2
2.354	0.81	2
1.26	0.47	2
1.231	3.35	2
1.9619	1.209	2
1.898	1.87	1
0.94	2.496	1
1.519	3.09	2
2.866	1.083	1
3.06	2.266	2
3.73	3.68	1
1.484	1.065	2
1.107	0.73	2
3.2	1.052	1
2.763	3.15	2
2.794	2.762	2
1.686	2.0194	1
1.544	3.55	2
3.04	2.563	2
1.9022	1.576	1
3.37	1.357	2
1.799	2.0726	1
0.03	2.611	2
2.99	1.9238	1
3.28	2.902	2
2.569	3.62	1
0.8	1.549	1
1.492	3.48	2
0.31	1.825	2
1.702	0.74	2
2.301	0.83	2
2.975	3.48	2
1.147	1.746	1
2.837	3.75	1
2.379	3.36	2
1.636	1.9172	1
2.939	1.649	1
3.24	2.554	2
3.37	1.669	1
1.52	1.087	2
3.34	1.739	2
2.286	3.23	2
2.672	4.03	2
1.48	0.48	2
1.487	3.29	2
1.352	1.369	2
1.887	1.803	1
2.103	2.329	1
1.059	2.976	2
1.467	1.598	1
3.09	0.41	1
1.605	1.244	2
3.46	1.583	1
1.276	0.74	2
0.41	1.02	1
2.159	3.51	2
1.157	3.4	2
1.419	0.73	2
1.732	0.74	2
0.42	1.158	1
1.48	3.2	2
1.9797	3.92	1
0.48	2.934	2
3.05	2.444	2
2.351	1.9598	1
1.678	0.88	2
1.346	1.001	2
